5718;Worker;2;ore;440
5735;Worker;2;ore;457
5741;Worker;3;ore;127
5744;Worker;1;ore;32
5744;Worker;0;ore;50
5745;Worker;1;block;32
5765;Worker;2;ore;487
5775;Worker;0;ore;81
5776;Worker;1;ore;18
5785;Worker;3;ore;171
5792;Worker;0;ore;98
5794;Worker;0;ore;100
5808;Worker;2;ore;530
5814;Worker;0;ore;120
5815;Worker;0;ore;121
5819;Worker;0;ore;125
5825;Worker;1;ore;67
5826;Worker;1;block;68
5828;Worker;3;ore;214
5831;Worker;2;ore;553
5836;Worker;0;ore;142
5858;Worker;2;ore;580
5874;Worker;2;ore;596
5875;Worker;3;ore;260
5886;Worker;0;ore;192
5899;Worker;3;ore;285
5900;Worker;1;ore;49
5901;Worker;1;block;51
5904;Worker;0;ore;210
5905;Worker;0;block;211
5910;Worker;3;ore;296
5919;Worker;2;ore;641
5945;Worker;3;ore;331
5949;Worker;1;ore;37
5968;Worker;2;ore;690
5983;Worker;3;ore;369
5985;Worker;1;ore;73
5992;Worker;1;ore;80
5995;Worker;2;ore;717
5996;Worker;1;ore;83
6010;Worker;3;ore;396
6035;Worker;2;ore;757
6039;Worker;1;ore;127
6042;Worker;3;ore;428
6064;Worker;0;ore;48
6064;Worker;0;block;48
6065;Worker;2;ore;787
6070;Worker;3;ore;456
6086;Worker;1;ore;174
6098;Worker;3;ore;484
6100;Worker;1;ore;188
6109;Worker;0;ore;33
6111;Worker;2;ore;833
6118;Worker;0;ore;42
6141;Worker;3;ore;527
6142;Worker;3;block;528
6148;Worker;1;ore;236
6150;Worker;0;ore;74
6151;Worker;0;block;75
6155;Worker;2;ore;877
6163;Worker;2;ore;885
6174;Worker;2;ore;896
6189;Worker;1;ore;277
6214;Worker;2;ore;936
6227;Worker;2;ore;949
6240;Worker;1;ore;328
6251;Worker;2;ore;973
6283;Worker;1;ore;371
6289;Worker;2;ore;1011
6290;Worker;2;block;1012
6294;Worker;0;ore;50
6295;Worker;0;block;51
6304;Worker;1;ore;392
6309;Worker;1;ore;397
6345;Worker;1;ore;433
6358;Worker;1;ore;446
6388;Worker;3;ore;26
6389;Worker;3;block;27
6396;Worker;0;ore;24
6409;Worker;1;ore;497
6420;Worker;1;ore;508
6429;Worker;1;ore;517
6435;Worker;0;ore;63
6448;Worker;0;ore;76
6453;Worker;1;ore;541
6479;Worker;0;ore;107
6488;Worker;1;ore;576
6494;Worker;1;ore;582
6502;Worker;1;ore;590
6528;Worker;0;ore;156
6529;Worker;1;ore;617
6535;Worker;1;ore;623
6569;Worker;1;ore;657
6586;Worker;0;ore;214
6593;Worker;1;ore;681
6611;Worker;1;ore;699
6627;Worker;0;ore;255
6635;Worker;0;ore;263
6647;Worker;1;ore;735
6653;Worker;0;ore;281
6659;Worker;1;ore;747
6667;Worker;0;ore;295
6675;Worker;1;ore;763
6678;Worker;1;ore;766
6681;Worker;0;ore;309
6690;Worker;1;ore;778
6699;Worker;1;ore;787
6721;Worker;0;ore;348
6722;Worker;1;ore;810
6723;Worker;1;block;811
6759;Worker;0;ore;387
6764;Worker;3;ore;25
6764;Worker;3;block;25
6775;Worker;2;ore;47
6776;Worker;2;block;48
6794;Worker;2;ore;4
6795;Worker;2;block;5
6809;Worker;0;ore;437
6821;Worker;3;ore;41
6845;Worker;0;ore;473
6865;Worker;0;ore;493
6866;Worker;3;ore;86
6881;Worker;0;ore;509
6882;Worker;0;block;510
6910;Worker;3;ore;130
6938;Worker;2;ore;13
6939;Worker;3;ore;159
6961;Worker;3;ore;181
6978;Worker;2;ore;53
6978;Worker;2;block;53
7010;Worker;3;ore;230
7053;Worker;3;ore;273
7063;Worker;3;ore;283
7083;Worker;3;ore;303
7123;Worker;3;ore;343
7123;Worker;3;block;343
7330;Worker;2;ore;7
7330;Worker;2;block;7
7559;Worker;3;ore;9
7598;Worker;3;ore;48
7613;Worker;0;ore;47
7614;Worker;0;block;48
7630;Worker;2;ore;12
7630;Worker;2;block;12
7633;Worker;0;ore;5
7633;Worker;0;block;5
7636;Worker;1;ore;28
7647;Worker;3;ore;97
7655;Worker;1;ore;47
7655;Worker;2;ore;13
7656;Worker;2;ore;13
7664;Worker;2;ore;22
7680;Worker;2;ore;38
7686;Worker;3;ore;136
7697;Worker;1;ore;89
7698;Worker;1;block;90
7702;Worker;2;ore;60
7703;Worker;0;ore;51
7704;Worker;0;block;51
7708;Worker;2;ore;66
7733;Worker;3;ore;183
7747;Worker;2;ore;105
7766;Worker;1;ore;35
7767;Worker;0;ore;25
7767;Worker;1;block;36
7776;Worker;2;ore;134
7782;Worker;3;ore;232
7785;Worker;1;ore;6
7786;Worker;1;block;7
7790;Worker;2;ore;148
7814;Worker;1;ore;16
7815;Worker;0;ore;72
7819;Worker;0;ore;77
7826;Worker;3;ore;276
7834;Worker;2;ore;192
7837;Worker;1;ore;39
7838;Worker;1;block;40
7858;Worker;3;ore;308
7860;Worker;0;ore;118
7882;Worker;2;ore;240
7883;Worker;0;ore;140
7883;Worker;3;ore;332
7900;Worker;1;ore;40
7901;Worker;1;block;41
7912;Worker;3;ore;362
7914;Worker;0;ore;172
7918;Worker;2;ore;276
7948;Worker;2;ore;306
7955;Worker;1;ore;43
7959;Worker;0;ore;217
7962;Worker;3;ore;412
7964;Worker;2;ore;322
7982;Worker;2;ore;340
7990;Worker;2;ore;348
7995;Worker;0;ore;253
7999;Worker;3;ore;449
8002;Worker;1;ore;90
8033;Worker;2;ore;391
8034;Worker;2;block;392
8036;Worker;0;ore;294
8038;Worker;1;ore;126
8047;Worker;3;ore;497
8054;Worker;1;ore;142
8054;Worker;1;ore;142
8062;Worker;3;ore;512
8088;Worker;0;ore;346
8088;Worker;0;block;346
8090;Worker;1;ore;178
8093;Worker;3;ore;543
8110;Worker;3;ore;560
8128;Worker;3;ore;578
8132;Worker;1;ore;220
8140;Worker;1;ore;228
8150;Worker;3;ore;600
8164;Worker;1;ore;252
8177;Worker;3;ore;627
8209;Worker;0;ore;4
8209;Worker;0;block;4
8213;Worker;1;ore;301
8217;Worker;3;ore;667
8234;Worker;3;ore;684
8247;Worker;1;ore;335
8253;Worker;3;ore;703
8295;Worker;3;ore;745
8297;Worker;1;ore;385
8320;Worker;2;ore;2
8331;Worker;3;ore;781
8334;Worker;2;ore;16
8340;Worker;0;ore;11
8340;Worker;0;block;11
8347;Worker;1;ore;435
8357;Worker;3;ore;807
8368;Worker;1;ore;456
8379;Worker;2;ore;61
8380;Worker;2;block;62
8384;Worker;3;ore;834
8385;Worker;0;ore;34
8385;Worker;0;block;34
8393;Worker;1;ore;481
8407;Worker;3;ore;857
8422;Worker;2;ore;10
8442;Worker;0;ore;20
8443;Worker;0;block;21
8445;Worker;3;ore;895
8445;Worker;1;ore;533
8451;Worker;2;ore;39
8453;Worker;3;ore;903
8457;Worker;0;ore;2
8457;Worker;0;block;2
8478;Worker;1;ore;566
8482;Worker;3;ore;932
8497;Worker;2;ore;85
8498;Worker;0;ore;29
8502;Worker;2;ore;90
8519;Worker;1;ore;607
8527;Worker;3;ore;977
8529;Worker;2;ore;117
8533;Worker;2;ore;121
8543;Worker;0;ore;75
8548;Worker;0;ore;80
8549;Worker;3;ore;998
8556;Worker;1;ore;644
8568;Worker;0;ore;100
8570;Worker;1;ore;658
8573;Worker;2;ore;161
8575;Worker;3;ore;1025
8584;Worker;2;ore;172
8589;Worker;0;ore;121
8606;Worker;1;ore;694
8614;Worker;2;ore;202
8619;Worker;3;ore;1069
8620;Worker;3;block;1070
8640;Worker;0;ore;172
8642;Worker;2;ore;230
8642;Worker;1;ore;730
8656;Worker;1;ore;744
8657;Worker;1;ore;745
8671;Worker;2;ore;259
8682;Worker;0;ore;214
8685;Worker;2;ore;273
8686;Worker;2;ore;274
8694;Worker;1;ore;782
8701;Worker;2;ore;289
8706;Worker;0;ore;238
8731;Worker;1;ore;819
8739;Worker;2;ore;327
8743;Worker;0;ore;275
8746;Worker;1;ore;834
8760;Worker;2;ore;348
8774;Worker;1;ore;862
8784;Worker;0;ore;316
8785;Worker;0;block;317
